MANUF	FULL MODEL	MODEL	VAR/CONF/GEN/SER	CATEGORY	TYPE	SUB-TYPE	FIRE_MECH	CALIBER	BRL-LEN (in)	MIN-LEN  (in)	MAX-LEN  (in)	WEIGHT (lbs)	TRG-PULL	STOCK	GRIP	ACTION	TWIST (in)	FS (mm)	RS (mm)	SR (mm)	CYCLIC ROF	EFF ROF	EFF-RNG-AREA (m)	EFF-RNG-PT (m)	MOA	FEED-SYS	FEED-LOC	STD-CAP	CLONE	NOTES
Anderson Arms	AM15 Pistol	AM15	Pistol	Pistol	AR	15	SA	.223, 5.56x45	7.5	24	24	4.9		None	A2		1:7									mag-well:btn-release:insert-lock	forward	30		
Bushmaster	XM15	XM15		Rifle	AR	15	SA	.223, 5.56x45	20	32.5	38.25	8.27	7-8	Collapsible	A2	gas-operated, direct impingement	1:8					45	800	550		mag-well:btn-release:insert-lock	forward	30		
Bushmaster	XM15-E2S	XM15	E2S	Rifle	AR	15	SA	.223, 5.56x45	16		36.25	6.7	7-8	Collapsible	A2	gas-operated, direct impingement, rotating-bolt	1:9									mag-well:btn-release:insert-lock	forward	30		XM15 Carbine aka Patrolman?�s Rifle
Christensen Arms	CA-15	CA-15		Rifle	AR	15	SA	.223, 5.56x45	16		32.5	6.6	3.5-4.5	Collapsible	A2	gas-operated, direct impingement	1:8									mag-well:btn-release:insert-lock	forward	30		
Colt	M4	M4		Rifle	AR	15	SA	.223, 5.56x45	16.1	32	35.5	6.5	5.5-9.5	Collapsible	A2	gas-operated	1:7	60.071	68.04	381						mag-well:btn-release:insert-lock	forward	30		
Colt	SP1	SP1		Rifle	AR	15	SA	.223, 5.56x45	20	39	39	6.1		Fixed	A2		1:12	58.039								mag-well:btn-release:insert-lock	forward	30	M16	FAWB Compliant
Daniel Defense	DDM4 V11	DDM4	V11	Rifle	AR	15	SA	.223, 5.56x45	16	32.25	35.88	6.28		Collapsible	A2		1:7									mag-well:btn-release:insert-lock	forward	30		
Daniel Defense	M4A1	M4A1		Rifle	AR	15	SA	.223, 5.56x45	16	31.5	34.75	6.74		Collapsible	A2		1:7									mag-well:btn-release:insert-lock	forward	30		actual barrel length is 14.5 but with permanent attached flash suppressor it comes to 16in
DPMS Panther	Classic 16	Classic 16		Rifle	AR	15	SA	.223, 5.56x45	20	37.25	40.5	7.75		Collapsible	A2		1:9									mag-well:btn-release:insert-lock	forward	30		
FN Herstal	FN15	FN15		Rifle	AR	15	SA	.223, 5.56x45	16	31.9	35.2	6.94	4.75-7.75	Collapsible	A2	gas-operated, direct impingement	1:7									mag-well:btn-release:insert-lock	forward	30		
